Time	Open	High	Low	Close
2008-05-19 Mon	4056	4224	4050	4157
2008-05-20 Tue	4201	4201	4095	4109
2008-05-21 Wed	4098	4144	4098	4112
2008-05-22 Thu	4145	4157	4101	4121
2008-05-23 Fri	4092	4110	4092	4106
2008-05-26 Mon	4139	4173	4109	4130
2008-05-27 Tue	4112	4135	4112	4114
2008-05-28 Wed	4100	4155	4098	4150
2008-05-29 Thu	4139	4162	4130	4150
2008-05-30 Fri	4110	4145	4110	4145
2008-06-02 Mon	4179	4179	4131	4149
2008-06-03 Tue	4124	4147	4119	4120
2008-06-04 Wed	4136	4162	4130	4140
2008-06-05 Thu	4144	4165	4135	4135
2008-06-06 Fri	4150	4180	4149	4149
2008-06-10 Tue	4200	4200	4141	4149
2008-06-11 Wed	4158	4165	4128	4165
2008-06-12 Thu	4183	4208	4148	4150
2008-06-13 Fri	4148	4165	4130	4150
2008-06-16 Mon	4166	4170	4155	4159
2008-06-17 Tue	4171	4171	4165	4165
2008-06-18 Wed	4147	4270	4147	4240
2008-06-19 Thu	4235	4260	4173	4173
2008-06-20 Fri	4167	4167	4143	4155
2008-06-23 Mon	4178	4178	4143	4143
2008-06-24 Tue	4155	4155	3984	3984
2008-06-25 Wed	4008	4068	3988	4042
2008-06-26 Thu	3793	3793	3793	3793
2008-06-27 Fri	4040	4048	4016	4038
2008-06-30 Mon	4047	4047	4006	4031
2008-07-01 Tue	4033	4040	3980	3988
2008-07-02 Wed	4007	4007	3980	3985
2008-07-03 Thu	3996	3996	3922	3925
2008-07-04 Fri	3925	3950	3817	3862
2008-07-07 Mon	3840	3867	3801	3808
2008-07-08 Tue	3800	3809	3770	3792
2008-07-09 Wed	3802	3804	3753	3775
2008-07-10 Thu	3772	3772	3715	3723
2008-07-11 Fri	3724	3800	3720	3785
2008-07-14 Mon	3766	3802	3757	3783
2008-07-15 Tue	3768	3779	3754	3766
2008-07-16 Wed	3778	3797	3767	3782
2008-07-17 Thu	3777	3780	3748	3750
2008-07-18 Fri	3684	3715	3681	3692
2008-07-21 Mon	3681	3681	3631	3631
2008-07-22 Tue	3635	3645	3530	3553
2008-07-23 Wed	3543	3618	3524	3596
2008-07-24 Thu	3600	3637	3571	3630
2008-07-25 Fri	3638	3742	3630	3728
2008-07-28 Mon	3730	3810	3709	3744
2008-07-29 Tue	3750	3774	3728	3734
2008-07-30 Wed	3777	3788	3740	3755
2008-07-31 Thu	3782	3792	3763	3768
2008-08-01 Fri	3785	3858	3749	3827
2008-08-04 Mon	3820	3837	3671	3690
2008-08-05 Tue	3639	3665	3608	3640
2008-08-06 Wed	3671	3708	3670	3706
2008-08-07 Thu	3692	3715	3644	3694
2008-08-08 Fri	3672	3730	3654	3698
2008-08-11 Mon	3688	3776	3670	3752
2008-08-12 Tue	3752	3758	3688	3749
2008-08-13 Wed	3752	3852	3743	3831
2008-08-14 Thu	3850	3898	3749	3758
2008-08-15 Fri	3720	3750	3691	3702
2008-08-18 Mon	3719	3761	3715	3749
2008-08-19 Tue	3749	3757	3675	3682
2008-08-20 Wed	3701	3733	3681	3690
2008-08-21 Thu	3684	3696	3650	3665
2008-08-22 Fri	3686	3710	3672	3692
2008-08-25 Mon	3687	3702	3676	3684
2008-08-26 Tue	3669	3680	3601	3654
2008-08-27 Wed	3656	3690	3656	3673
2008-08-28 Thu	3638	3650	3621	3638
2008-08-29 Fri	3611	3736	3611	3703
2008-09-01 Mon	3686	3732	3670	3700
2008-09-02 Tue	3680	3693	3626	3627
2008-09-03 Wed	3630	3644	3604	3606
2008-09-04 Thu	3596	3635	3528	3551
2008-09-05 Fri	3534	3551	3513	3525
